,,,,Offense,,,,,,,,,,,,,Defense,,,,,,,,Disciplinary,,,
Mateus Fernandes,WHU,BHA,F/M,95.0,0.08,0.06,1.25,0.26,1.09,39.46,46.77,2.09,0.45,0.85,0.93,1.19,0.91,2.64,1.54,0.38,1.27,0.16,1.76,0.00,1.79,1.62,0.28,0.01
Kenny Tete,FUL,CRY,D,95.0,0.08,0.05,1.12,0.18,0.70,50.86,60.10,3.02,0.55,1.93,0.37,0.86,1.64,2.91,1.77,0.45,3.78,0.23,1.45,0.00,0.76,1.46,0.17,0.00
Kyle Walker,BRN,NEW,D,95.0,0.08,0.05,0.76,0.18,0.53,40.92,48.32,1.70,0.22,0.88,0.68,0.32,0.76,2.03,1.27,0.34,2.08,0.15,1.89,0.00,1.03,1.08,0.15,0.07
Virgil van Dijk,LIV,LEE,D,95.0,0.08,0.03,0.67,0.18,0.35,80.56,88.31,0.11,0.02,2.99,0.18,0.28,1.34,1.34,0.77,0.89,5.58,0.38,0.99,0.00,0.62,0.73,0.22,0.00
Reece James,CHE,BOU,D,95.0,0.07,0.21,0.70,0.15,1.32,48.43,56.70,3.70,1.19,2.19,0.74,1.02,0.96,1.89,1.30,0.34,2.18,0.32,1.17,0.00,1.10,0.93,0.23,0.00
Chris Rigg,SUN,MCI,M,95.0,0.07,0.10,2.27,0.52,1.63,24.30,31.66,3.19,0.86,0.87,1.54,1.77,0.57,2.41,1.51,0.30,1.13,0.11,2.14,0.00,1.29,1.36,0.16,0.00
Leny Yoro,MUN,WOL,D,95.0,0.07,0.06,0.83,0.31,0.54,76.44,85.33,0.31,0.08,2.72,0.34,0.28,1.75,2.46,1.50,0.86,5.22,0.43,0.85,0.00,0.82,1.30,0.34,0.01
Ibrahima Konate,LIV,LEE,D,95.0,0.07,0.04,0.62,0.16,0.37,76.20,83.97,0.11,0.02,2.90,0.19,0.28,1.19,1.43,0.82,0.91,5.35,0.38,0.99,0.00,0.76,0.77,0.23,0.00
Nathan Collins,BRE,TOT,D,95.0,0.07,0.03,0.74,0.27,0.29,67.91,77.04,0.35,0.09,3.67,0.32,0.27,1.37,2.00,1.29,1.49,7.56,0.29,1.21,0.00,0.76,1.24,0.16,0.00
John McGinn,AVL,ARS,M,95.0,0.06,0.18,1.95,0.78,1.33,31.67,38.91,4.07,0.73,0.95,1.26,2.42,0.97,1.79,1.05,0.12,1.01,0.12,2.06,0.00,2.32,1.67,0.25,0.00
Joao Gomes,WOL,MUN,M,95.0,0.06,0.15,1.40,0.42,1.68,54.79,63.78,1.74,0.41,0.85,0.96,1.54,1.32,3.62,2.18,0.47,1.73,0.09,2.27,0.00,1.85,1.84,0.30,0.01
Granit Xhaka,SUN,MCI,M,95.0,0.06,0.15,1.37,0.36,1.79,66.97,75.37,1.18,0.40,1.20,0.92,1.44,1.22,3.43,1.98,0.64,2.57,0.11,2.14,0.00,1.85,1.41,0.27,0.00
Lesley Ugochukwu,BRN,NEW,M,95.0,0.06,0.12,0.73,0.20,0.86,36.83,42.69,1.03,0.27,0.90,0.72,1.00,1.03,2.72,1.32,0.42,1.23,0.15,1.89,0.00,1.31,1.49,0.20,0.00
David Moller Wolfe,WOL,MUN,D,95.0,0.06,0.12,0.73,0.37,1.25,26.16,32.33,2.26,0.32,0.77,0.92,1.04,0.99,2.32,1.38,0.35,2.35,0.09,2.27,0.00,1.01,0.97,0.19,0.06
Jurrien Timber,ARS,AVL,D,95.0,0.06,0.10,1.08,0.32,1.16,63.19,71.58,2.50,0.42,1.47,1.12,1.02,1.74,3.84,2.39,0.27,2.89,0.43,0.85,0.00,1.21,1.97,0.35,0.02
Oleksandr Zinchenko,NFO,EVE,D,95.0,0.06,0.08,0.99,0.16,0.75,40.03,46.97,2.89,0.64,1.44,0.57,0.63,0.81,1.59,0.97,0.37,2.26,0.38,0.96,0.00,0.79,0.90,0.12,0.00
Dennis Cirkin,SUN,MCI,D,95.0,0.06,0.08,0.88,0.26,0.65,37.84,46.21,2.52,0.55,1.26,0.87,0.88,1.43,3.98,2.37,0.67,3.68,0.11,2.14,0.00,1.42,1.50,0.22,0.00
Anton Stach,LEE,LIV,M,95.0,0.06,0.07,1.45,0.36,1.04,48.17,56.28,1.40,0.40,1.21,0.93,0.68,1.56,2.84,1.72,0.46,2.39,0.12,2.07,0.00,1.50,1.57,0.23,0.01
Yasin Ayari,BHA,WHU,M,95.0,0.06,0.07,1.32,0.38,1.05,45.57,52.70,2.03,0.58,1.31,1.12,0.97,1.14,2.75,1.64,0.30,1.67,0.27,1.31,0.00,1.07,1.70,0.19,0.01
Jayden Bogle,LEE,LIV,D,95.0,0.06,0.05,0.91,0.19,0.85,38.25,47.49,1.90,0.25,1.15,0.90,0.78,1.17,2.53,1.41,0.14,2.71,0.12,2.07,0.00,1.44,1.36,0.27,0.05
Ayden Heaven,MUN,WOL,D,95.0,0.06,0.04,1.03,0.27,0.58,71.84,81.30,0.27,0.06,2.69,0.39,0.41,2.03,2.51,1.55,0.79,5.83,0.43,0.85,0.00,1.07,1.37,0.29,0.01
Luke Shaw,MUN,WOL,D,95.0,0.06,0.04,0.72,0.29,0.62,77.54,86.56,1.25,0.26,2.45,0.30,0.21,1.40,2.11,1.47,0.71,5.07,0.43,0.85,0.00,0.63,1.35,0.25,0.01
Ruben Dias,MCI,SUN,D,95.0,0.06,0.02,0.68,0.26,0.39,99.02,108.83,0.25,0.08,2.57,0.16,0.09,1.49,1.62,1.13,1.05,5.78,0.42,0.88,0.00,0.50,0.90,0.22,0.01
Nikola Milenkovic,NFO,EVE,D,95.0,0.06,0.02,0.57,0.14,0.30,48.04,55.59,0.15,0.04,2.40,0.20,0.10,0.85,1.61,1.01,0.55,5.86,0.38,0.96,0.00,0.30,0.81,0.13,0.00
Fabian Schar,NEW,BRN,D,95.0,0.06,0.00,0.77,0.17,0.23,53.76,61.99,0.35,0.06,2.48,0.20,0.39,1.27,1.50,0.97,0.87,4.90,0.40,0.92,0.00,0.66,1.14,0.28,0.01
Tyrick Mitchell,CRY,FUL,M/D,95.0,0.05,0.32,0.59,0.17,1.52,28.38,36.79,3.92,0.81,0.89,0.86,1.18,0.89,3.02,2.07,0.21,4.15,0.31,1.18,0.00,1.03,0.61,0.11,0.00
Freddie Potts,WHU,BHA,M,95.0,0.05,0.09,0.85,0.16,0.86,36.85,44.38,1.50,0.34,1.81,0.55,0.98,0.98,2.51,1.38,0.42,1.60,0.16,1.76,0.00,1.33,1.31,0.29,0.00
Florentino Luis,BRN,NEW,M,95.0,0.05,0.09,0.55,0.19,0.72,38.25,43.97,0.94,0.26,0.81,0.47,0.93,1.58,3.29,1.82,0.30,1.64,0.15,1.89,0.00,1.16,1.54,0.22,0.00
Ferdi Kadioglu,BHA,WHU,M/D,95.0,0.05,0.05,0.66,0.15,1.21,37.37,43.76,2.81,0.94,1.35,0.63,0.70,1.16,2.72,1.67,0.31,2.68,0.27,1.31,0.00,1.12,0.97,0.15,0.00
Matt Doherty,WOL,MUN,D,95.0,0.05,0.05,0.60,0.18,0.40,67.82,78.03,0.45,0.07,2.82,0.55,0.35,1.59,2.40,1.42,1.22,7.05,0.09,2.27,0.00,1.03,1.29,0.34,0.01
Nordi Mukiele,SUN,MCI,M/D,95.0,0.05,0.04,0.75,0.22,0.66,67.93,78.56,0.96,0.20,2.91,0.31,0.39,1.88,1.85,1.28,1.12,6.54,0.11,2.14,0.00,0.95,0.81,0.21,0.01
Bashir Humphreys,BRN,NEW,D,95.0,0.05,0.03,0.56,0.13,0.43,51.44,58.91,0.64,0.23,1.98,0.15,0.31,1.34,1.80,1.20,0.80,4.88,0.15,1.89,0.00,0.92,0.69,0.20,0.01
James Tarkowski,EVE,NFO,D,95.0,0.05,0.02,0.55,0.18,0.29,52.36,60.92,0.12,0.02,3.34,0.14,0.20,1.29,1.58,1.05,1.16,7.04,0.24,1.43,0.00,0.63,0.91,0.15,0.01
Bafode Diakite,BOU,CHE,D,95.0,0.05,0.02,0.45,0.15,0.26,55.73,63.56,0.20,0.03,2.04,0.19,0.20,1.48,1.26,0.86,0.85,5.53,0.10,2.23,0.00,0.48,0.99,0.22,0.02
Jorge Cuenca,FUL,CRY,D,95.0,0.05,0.01,0.95,0.20,0.22,71.86,80.71,0.30,0.02,3.05,0.35,0.14,1.03,1.41,0.81,0.97,7.26,0.23,1.45,0.00,0.82,0.98,0.27,0.01
Joachim Andersen,FUL,CRY,D,95.0,0.05,0.01,0.94,0.26,0.28,74.25,84.98,0.36,0.06,3.19,0.27,0.19,1.18,1.45,0.86,0.94,7.43,0.23,1.45,0.00,0.80,1.07,0.36,0.01
Malick Thiaw,NEW,BRN,D,95.0,0.05,0.01,0.54,0.11,0.24,56.85,63.54,0.23,0.03,2.65,0.20,0.34,1.04,1.51,0.97,0.80,5.14,0.40,0.92,0.00,0.60,1.18,0.27,0.01
Pascal Struijk,LEE,LIV,D,95.0,0.05,0.00,0.50,0.20,0.35,70.55,79.63,0.09,0.02,3.02,0.15,0.27,1.14,1.61,1.01,1.19,7.48,0.12,2.07,0.00,1.01,1.00,0.25,0.00
Vitaly Janelt,BRE,TOT,M,95.0,0.04,0.11,0.94,0.27,1.25,53.14,61.95,3.26,0.69,1.13,0.58,1.04,1.80,2.58,1.44,0.31,1.68,0.29,1.21,0.00,1.34,1.80,0.27,0.00
Gabriel Gudmundsson,LEE,LIV,D,95.0,0.04,0.09,0.82,0.19,1.00,38.88,46.53,2.42,0.51,1.00,0.84,0.64,1.56,2.59,1.65,0.45,3.00,0.12,2.07,0.00,1.48,1.27,0.19,0.00
Djed Spence,TOT,BRE,D,95.0,0.04,0.09,0.61,0.24,0.99,47.04,54.93,2.43,0.62,1.29,1.38,1.36,1.67,2.70,1.71,0.39,3.20,0.22,1.50,0.00,1.41,1.04,0.14,0.02
Moises Caicedo,CHE,BOU,M,95.0,0.04,0.07,1.00,0.19,0.98,57.38,66.54,1.48,0.18,1.01,0.62,0.74,1.48,3.38,2.37,0.58,1.25,0.32,1.17,0.00,1.45,1.90,0.29,0.01
Ethan Ampadu,LEE,LIV,M/D,95.0,0.04,0.06,1.14,0.26,0.94,58.35,66.51,1.15,0.28,1.54,0.75,0.74,1.35,2.81,1.61,0.58,2.29,0.12,2.07,0.00,1.57,1.66,0.22,0.01
Amadou Onana,AVL,ARS,M,95.0,0.04,0.06,1.04,0.32,1.16,60.86,69.03,1.08,0.27,1.58,0.90,1.07,1.67,3.34,1.86,0.51,2.33,0.12,2.06,0.00,1.84,1.87,0.21,0.00
Santi Bueno,WOL,MUN,D,95.0,0.04,0.06,0.54,0.16,0.26,66.89,76.43,0.21,0.05,2.69,0.36,0.36,1.64,2.63,1.60,1.38,7.01,0.09,2.27,0.00,0.93,1.49,0.30,0.01
Ladislav Krejci,WOL,MUN,M/D,95.0,0.04,0.04,0.66,0.21,0.33,76.54,86.50,0.30,0.07,2.71,0.46,0.37,1.77,2.22,1.45,1.28,6.92,0.09,2.27,0.00,1.02,1.42,0.37,0.01
Yerson Mosquera,WOL,MUN,D,95.0,0.04,0.04,0.49,0.12,0.43,68.13,77.68,0.33,0.14,2.99,0.36,0.36,2.00,2.49,1.61,1.74,6.60,0.09,2.27,0.00,1.28,1.53,0.37,0.01
Rodrigo Bentancur,TOT,BRE,M,95.0,0.04,0.03,1.11,0.27,1.06,49.97,56.62,0.69,0.21,1.35,0.77,1.04,2.08,2.64,1.65,0.50,2.55,0.22,1.50,0.00,0.70,1.86,0.46,0.00
Murillo,NFO,EVE,D,95.0,0.04,0.02,0.62,0.17,0.32,50.04,58.94,0.28,0.11,1.99,0.47,0.17,0.93,1.64,1.12,0.76,6.46,0.38,0.96,0.00,0.29,0.88,0.16,0.00
Lutsharel Geertruida,SUN,MCI,D,95.0,0.04,0.02,0.55,0.17,0.66,66.48,76.41,0.56,0.23,2.42,0.20,0.39,1.55,1.82,1.21,1.15,6.56,0.11,2.14,0.00,0.70,0.96,0.18,0.00
Jake O'Brien,EVE,NFO,D,95.0,0.04,0.02,0.52,0.19,0.46,34.28,41.83,1.93,0.53,1.76,0.39,0.35,0.76,2.21,1.24,0.36,3.84,0.24,1.43,0.00,0.74,1.24,0.24,0.02
Sepp van den Berg,BRE,TOT,D,95.0,0.04,0.01,0.83,0.29,0.31,65.19,73.95,0.36,0.11,3.65,0.30,0.28,1.31,2.03,1.29,1.45,7.01,0.29,1.21,0.00,0.54,1.30,0.16,0.00
Marc Guehi,CRY,FUL,D,95.0,0.03,0.07,0.65,0.21,0.53,55.48,64.23,0.36,0.06,2.64,0.25,0.31,1.33,2.11,1.29,0.89,6.70,0.31,1.18,0.00,0.82,1.16,0.21,0.02
Adrien Truffert,BOU,CHE,D,95.0,0.03,0.07,0.61,0.19,0.99,32.63,38.69,3.63,0.92,0.93,0.63,0.77,1.10,2.46,1.44,0.30,2.20,0.10,2.23,0.00,1.20,0.89,0.14,0.00
Neco Williams,NFO,EVE,D,95.0,0.03,0.06,0.88,0.16,0.80,30.74,36.71,2.87,0.60,1.10,0.61,0.69,0.93,2.42,1.52,0.45,3.22,0.38,0.96,0.00,1.18,0.89,0.15,0.00
Maxence Lacroix,CRY,FUL,D,95.0,0.03,0.04,0.85,0.21,0.44,50.83,59.39,0.30,0.04,2.59,0.23,0.23,1.59,2.23,1.37,0.88,7.38,0.31,1.18,0.00,0.70,1.26,0.20,0.01
Josh Laurent,BRN,NEW,M,95.0,0.03,0.04,0.56,0.12,0.54,47.81,55.52,0.41,0.08,1.87,0.30,0.48,1.24,1.77,1.11,0.88,4.54,0.15,1.89,0.00,0.77,0.97,0.27,0.00
Lucas Pires,BRN,NEW,D,95.0,0.03,0.04,0.52,0.10,0.84,37.44,44.99,3.15,0.94,1.00,0.62,0.59,1.37,2.16,1.27,0.22,2.33,0.15,1.89,0.00,0.63,1.00,0.18,0.00
Joao Palhinha,TOT,BRE,M,95.0,0.03,0.03,1.41,0.34,1.09,53.55,59.89,0.69,0.17,1.90,0.73,0.88,1.69,3.13,2.00,0.36,2.17,0.22,1.50,0.00,1.01,1.96,0.42,0.01
Archie Gray,TOT,BRE,M/D,95.0,0.03,0.03,0.83,0.20,0.96,49.79,56.14,0.84,0.19,1.03,0.76,0.92,1.68,2.28,1.42,0.57,2.59,0.22,1.50,0.00,0.71,1.63,0.32,0.00
Omar Alderete,SUN,MCI,D,95.0,0.03,0.02,0.83,0.25,0.56,57.97,69.62,0.34,0.13,3.37,0.25,0.39,1.64,1.73,1.13,1.32,7.90,0.11,2.14,0.00,0.65,0.89,0.17,0.00
Jaka Bijol,LEE,LIV,D,95.0,0.03,0.00,0.43,0.15,0.31,58.98,67.96,0.12,0.04,2.78,0.16,0.20,1.25,1.66,0.98,1.26,7.80,0.12,2.07,0.00,0.86,1.16,0.34,0.00
Antonee Robinson,FUL,CRY,D,95.0,0.02,0.23,0.87,0.26,1.32,50.09,59.76,4.84,0.95,1.73,1.00,0.98,1.60,2.72,1.62,0.27,4.28,0.23,1.45,0.00,0.71,1.01,0.25,0.01
Matheus Nunes,MCI,SUN,D,95.0,0.02,0.19,0.70,0.30,1.20,63.64,72.32,2.98,0.81,1.28,1.27,0.89,0.96,2.79,1.58,0.47,2.33,0.42,0.88,0.00,1.38,1.60,0.43,0.00
Trai Hume,SUN,MCI,D,95.0,0.02,0.18,0.88,0.23,1.88,47.09,58.68,4.31,1.27,2.02,0.64,0.64,1.55,4.21,2.50,0.81,4.08,0.11,2.14,0.00,0.79,1.58,0.25,0.01
Milos Kerkez,LIV,LEE,D,95.0,0.02,0.18,0.58,0.13,1.37,43.44,51.57,4.85,1.08,0.81,0.93,0.63,1.30,2.09,1.48,0.41,3.11,0.38,0.99,0.00,1.01,1.09,0.21,0.01
Aaron Hickey,BRE,TOT,D,95.0,0.02,0.13,0.70,0.14,0.95,39.33,48.99,3.46,0.73,1.09,1.11,0.89,1.02,2.01,1.32,0.32,3.24,0.29,1.21,0.00,0.84,0.76,0.18,0.01
Vitaliy Mykolenko,EVE,NFO,D,95.0,0.02,0.07,0.57,0.12,0.76,31.44,37.82,3.28,0.78,1.38,0.60,0.61,1.21,1.89,1.13,0.29,3.85,0.24,1.43,0.00,0.83,0.82,0.25,0.00
Lamare Bogarde,AVL,ARS,M/D,95.0,0.02,0.06,0.79,0.26,1.04,60.45,68.39,1.05,0.25,1.41,0.70,1.39,1.26,3.27,1.77,0.63,2.37,0.12,2.06,0.00,1.93,1.89,0.29,0.00
Kyle Walker-Peters,WHU,BHA,D,95.0,0.02,0.06,0.49,0.14,0.85,39.05,46.32,2.23,0.38,0.90,0.95,0.95,1.10,2.73,1.74,0.34,3.45,0.16,1.76,0.00,1.05,0.73,0.11,0.01
Lewis Cook,BOU,CHE,M,95.0,0.02,0.05,0.66,0.22,1.06,42.20,49.15,2.19,0.63,1.07,0.75,0.90,1.05,2.60,1.51,0.54,2.15,0.10,2.23,0.00,0.79,1.72,0.26,0.03
Oliver Scarles,WHU,BHA,M/D,95.0,0.02,0.04,0.47,0.10,0.77,37.17,43.38,2.57,0.49,0.67,0.58,0.91,0.99,2.56,1.69,0.53,3.30,0.16,1.76,0.00,0.84,0.58,0.17,0.00
Hjalmar Ekdal,BRN,NEW,D,95.0,0.02,0.02,0.29,0.05,0.24,36.20,41.41,0.18,0.06,1.33,0.13,0.14,0.91,1.10,0.68,0.79,4.07,0.15,1.89,0.00,0.45,0.48,0.19,0.00
Jan Paul van Hecke,BHA,WHU,D,95.0,0.02,0.01,0.50,0.13,0.46,66.83,75.13,0.29,0.15,2.38,0.24,0.16,0.79,1.27,0.76,0.78,4.89,0.27,1.31,0.00,0.78,0.90,0.15,0.02
Lewis Dunk,BHA,WHU,D,95.0,0.02,0.01,0.48,0.12,0.44,72.16,80.33,0.25,0.09,2.37,0.18,0.14,0.74,1.15,0.69,0.85,4.47,0.27,1.31,0.00,0.65,0.76,0.16,0.00
Marcos Senesi,BOU,CHE,D,95.0,0.02,0.01,0.41,0.07,0.41,49.03,59.55,0.40,0.14,2.28,0.23,0.23,1.51,1.92,1.19,0.82,6.15,0.10,2.23,0.00,0.51,1.19,0.31,0.00
Ian Maatsen,AVL,ARS,D,95.0,0.01,0.18,1.20,0.38,1.22,50.20,59.08,4.51,0.75,1.32,0.87,1.29,1.84,3.30,2.04,0.22,3.98,0.12,2.06,0.00,1.09,1.16,0.28,0.01
Keane Lewis-Potter,BRE,TOT,M/D,95.0,0.01,0.15,0.85,0.23,1.03,41.81,52.44,3.85,0.90,1.19,1.46,0.99,1.03,2.14,1.36,0.34,3.43,0.29,1.21,0.00,0.99,0.79,0.24,0.01
Alex Jimenez,BOU,CHE,M/D,95.0,0.01,0.14,0.72,0.21,0.76,26.91,33.64,1.94,0.57,1.09,0.94,0.56,1.14,2.11,1.26,0.38,2.56,0.10,2.23,0.00,0.82,0.88,0.38,0.00
Sasa Lukic,FUL,CRY,M,95.0,0.01,0.06,1.19,0.14,1.45,57.77,66.14,2.41,0.68,1.49,0.53,0.82,1.11,2.93,1.61,0.30,1.62,0.23,1.45,0.00,1.17,2.01,0.43,0.00
Tim Iroegbunam,EVE,NFO,M,95.0,0.01,0.05,0.85,0.17,0.62,43.89,51.56,1.43,0.26,1.26,0.77,1.33,1.73,3.17,1.73,0.68,1.76,0.24,1.43,0.00,1.47,2.25,0.49,0.00
Cristian Romero,TOT,BRE,D,95.0,0.01,0.04,0.78,0.19,0.37,69.76,79.77,0.17,0.03,3.35,0.26,0.30,1.81,2.34,1.47,1.21,7.41,0.22,1.50,0.00,0.80,1.21,0.25,0.00
Sander Berge,FUL,CRY,M,95.0,0.01,0.03,0.93,0.11,1.36,59.27,67.30,1.78,0.46,1.65,0.62,0.90,0.95,2.82,1.60,0.30,1.74,0.23,1.45,0.00,0.96,1.62,0.34,0.00
James Garner,EVE,NFO,M,95.0,0.01,0.03,0.90,0.24,0.79,48.49,56.96,2.45,0.52,0.90,0.45,0.72,1.45,2.55,1.59,0.53,1.90,0.24,1.43,0.00,1.17,1.67,0.36,0.00
Ezri Konsa,AVL,ARS,D,95.0,0.01,0.02,0.63,0.17,0.35,75.33,83.72,0.20,0.02,2.37,0.47,0.31,1.07,1.72,1.00,1.52,7.17,0.12,2.06,0.00,1.31,0.94,0.28,0.00
Victor Lindelof,AVL,ARS,D,95.0,0.01,0.02,0.54,0.13,0.37,77.84,86.55,0.20,0.06,2.74,0.41,0.25,1.11,1.78,0.93,1.55,7.69,0.12,2.06,0.00,0.85,1.18,0.30,0.00
Max Kilman,WHU,BHA,D,95.0,0.01,0.01,0.43,0.06,0.29,55.68,63.94,0.27,0.04,2.57,0.25,0.16,1.51,1.44,0.85,1.33,6.32,0.16,1.76,0.00,0.46,1.00,0.15,0.01
Jean-Clair Todibo,WHU,BHA,D,95.0,0.01,0.01,0.37,0.05,0.21,55.81,63.76,0.30,0.04,1.94,0.33,0.27,1.56,1.86,1.13,1.19,5.83,0.16,1.76,0.00,0.44,1.07,0.15,0.01
Michael Kayode,BRE,TOT,D,95.0,0.00,0.14,0.63,0.10,0.93,38.16,47.09,2.81,0.52,1.34,1.24,0.98,1.46,3.88,2.30,0.51,4.89,0.29,1.21,0.00,0.88,1.15,0.23,0.00
Malo Gusto,CHE,BOU,D,95.0,0.00,0.12,0.74,0.13,1.17,45.73,53.52,3.08,0.88,1.47,0.53,1.08,1.01,2.21,1.37,0.34,2.39,0.32,1.17,0.00,1.10,0.98,0.21,0.00
Micky van de Ven,TOT,BRE,D,95.0,0.00,0.06,0.66,0.14,0.27,69.03,78.54,0.20,0.03,3.06,0.32,0.34,1.50,2.07,1.14,1.19,7.11,0.22,1.50,0.00,0.86,1.22,0.25,0.00
Martin Dubravka,BRN,NEW,G,95.0,0.00,0.02,0.00,0.00,0.10,21.53,32.36,0.00,0.00,0.50,0.01,0.00,0.01,0.02,0.02,0.00,1.24,0.15,1.89,2.24,0.11,0.01,0.08,0.00
Jordan Pickford,EVE,NFO,G,95.0,0.00,0.02,0.00,0.00,0.03,26.73,39.49,0.00,0.00,0.23,0.00,0.00,0.04,0.03,0.01,0.00,1.38,0.24,1.43,3.51,0.12,0.00,0.16,0.00
Caoimhin Kelleher,BRE,TOT,G,95.0,0.00,0.01,0.01,0.01,0.02,29.90,43.76,0.00,0.00,0.49,0.02,0.00,0.00,0.03,0.03,0.00,1.43,0.29,1.21,4.03,0.20,0.04,0.07,0.00
Djordje Petrovic,BOU,CHE,G,95.0,0.00,0.01,0.01,0.00,0.03,27.36,38.81,0.00,0.00,0.22,0.03,0.00,0.00,0.04,0.04,0.00,1.08,0.10,2.23,2.78,0.17,0.03,0.06,0.00
Bernd Leno,FUL,CRY,G,95.0,0.00,0.01,0.00,0.00,0.04,29.24,38.31,0.00,0.00,0.25,0.01,0.00,0.01,0.02,0.02,0.00,1.24,0.23,1.45,4.11,0.07,0.09,0.09,0.07
Senne Lammens,MUN,WOL,G,95.0,0.00,0.01,0.00,0.00,0.04,30.66,43.44,0.00,0.00,0.41,0.03,0.00,0.00,0.05,0.02,0.00,1.39,0.43,0.85,3.57,0.14,0.02,0.10,0.00
David Raya,ARS,AVL,G,95.0,0.00,0.01,0.00,0.00,0.04,35.36,49.40,0.00,0.00,0.57,0.05,0.01,0.04,0.02,0.02,0.00,1.38,0.43,0.85,5.25,0.20,0.01,0.08,0.00
Gianluigi Donnarumma,MCI,SUN,G,95.0,0.00,0.01,0.00,0.00,0.01,30.82,45.45,0.00,0.00,0.33,0.02,0.00,0.02,0.03,0.02,0.00,1.28,0.42,0.88,4.44,0.17,0.02,0.12,0.00
Robin Roefs,SUN,MCI,G,95.0,0.00,0.01,0.00,0.00,0.03,32.85,48.45,0.00,0.00,0.32,0.02,0.00,0.01,0.07,0.02,0.00,1.38,0.11,2.14,3.85,0.21,0.01,0.16,0.00
Bart Verbruggen,BHA,WHU,G,95.0,0.00,0.01,0.00,0.00,0.01,23.57,32.55,0.00,0.00,0.46,0.03,0.00,0.00,0.01,0.01,0.00,1.34,0.27,1.31,2.26,0.06,0.00,0.06,0.00
John,NFO,EVE,G,95.0,0.00,0.01,0.00,0.00,0.05,21.57,32.80,0.00,0.00,0.32,0.01,0.00,0.01,0.04,0.03,0.00,1.20,0.38,0.96,3.77,0.26,0.01,0.07,0.00
Alisson,LIV,LEE,G,95.0,0.00,0.00,0.04,0.04,0.01,26.10,36.83,0.00,0.00,0.32,0.01,0.00,0.00,0.03,0.00,0.00,1.14,0.38,0.99,4.01,0.13,0.00,0.01,0.00
Dean Henderson,CRY,FUL,G,95.0,0.00,0.00,0.01,0.00,0.04,21.14,36.22,0.00,0.00,0.43,0.01,0.00,0.00,0.08,0.01,0.00,1.23,0.31,1.18,3.75,0.13,0.00,0.11,0.00
Robert Sanchez,CHE,BOU,G,95.0,0.00,0.00,0.00,0.00,0.04,23.59,35.14,0.00,0.00,0.32,0.05,0.00,0.02,0.03,0.03,0.00,1.14,0.32,1.17,4.02,0.16,0.05,0.13,0.00
Lucas Perri,LEE,LIV,G,95.0,0.00,0.00,0.00,0.00,0.04,25.86,38.02,0.00,0.00,0.77,0.00,0.01,0.01,0.02,0.01,0.00,1.89,0.12,2.07,2.58,0.32,0.04,0.13,0.00
Emiliano Martinez,AVL,ARS,G,95.0,0.00,0.00,0.00,0.00,0.03,39.60,58.57,0.00,0.00,0.76,0.04,0.00,0.02,0.07,0.06,0.00,2.10,0.12,2.06,5.90,0.35,0.04,0.08,0.02
Guglielmo Vicario,TOT,BRE,G,95.0,0.00,0.00,0.00,0.00,0.03,27.97,36.42,0.00,0.00,0.48,0.05,0.01,0.02,0.04,0.03,0.00,1.50,0.22,1.50,3.15,0.25,0.01,0.06,0.00
Nick Pope,NEW,BRN,G,95.0,0.00,0.00,0.00,0.00,0.10,17.86,26.70,0.00,0.00,0.39,0.01,0.02,0.03,0.02,0.02,0.00,1.65,0.40,0.92,2.43,0.14,0.02,0.05,0.00
Jose Sa,WOL,MUN,G,95.0,0.00,0.00,0.00,0.00,0.03,28.35,45.65,0.00,0.00,0.53,0.16,0.00,0.00,0.07,0.06,0.00,1.83,0.09,2.27,4.55,0.22,0.07,0.09,0.01
Alphonse Areola,WHU,BHA,G,95.0,0.00,0.00,0.00,0.00,0.01,25.48,37.51,0.00,0.00,0.15,0.01,0.00,0.00,0.08,0.08,0.00,1.08,0.16,1.76,3.57,0.08,0.02,0.05,0.00