"Golfer","ADP","Rank","Total Events Played","Round 1 Projection","Round 2 Projection","Round 3 Projection","Round 4 Projection","Total Projected Points","id"
"Rico Hoey","23.4","18","15","465.1","169.4","133.2","206.9","974.6","ddc4fa88-9c19-4f29-8eef-d35df0044d7a"
"Max McGreevy","48.1","33","16","427.2","207.3","120.7","188.5","943.8","4d81a5f5-e50c-4711-8fd2-61cbb1ca929e"
"Scottie Scheffler","1","1","18","417.0","456.5","457.2","353.1","1683.8","17a3e0ea-5fb7-4435-b5d1-291fe5e03177"
"Si Woo Kim","4.4","3","21","410.8","308.6","383.1","273.1","1375.7","aca8450d-72e1-4c83-9053-049b58f8b7e4"
"Jordan Spieth","12.4","8","16","404.0","280.6","132.9","194.1","1011.6","b4a5a953-6b11-422f-abc4-e55791d793f3"
"Ben Griffin","2.4","2","20","391.8","342.1","420.0","276.1","1429.9","9f05d1ec-0268-4a03-81aa-fe8049579085"
"Chris Kirk","45.2","60","13","386.6","208.8","122.0","71.6","789.0","a5fe54e3-8952-4a8d-9024-c533c884582f"
"Robert MacIntyre","5.2","5","19","382.8","266.8","322.9","326.7","1299.2","883e082d-b623-4f73-bd4b-31b01d0645a2"
"Nico Echavarria","31.1","28","15","376.1","202.9","118.4","184.9","882.4","b368e2ab-a957-4e06-9383-10e1d07db2f4"
"Michael Kim","7.2","6","21","365.3","326.3","273.1","231.0","1195.7","13262b59-45c3-4c12-912f-190d57a1e37b"
"Max Greyserman","40","36","16","361.0","150.8","166.5","216.1","894.3","f39580cb-8c22-462e-a01a-945dbd875d27"
"Denny McCarthy","38","30","17","357.7","221.2","217.1","191.2","987.3","983a3e23-cc65-42ba-a73f-e8421428712a"
"Harry Hall","15.7","15","19","346.9","294.4","237.3","291.8","1170.4","7afe7bdd-36e2-4e12-8d75-ad64faa0fa18"
"J.J. Spaun","9","7","19","346.8","333.6","323.6","251.5","1255.4","0c5b0f2c-5f20-4dad-ab0a-c6446d72cacb"
"Samuel Stevens","16.2","9","21","345.3","307.4","323.3","185.6","1161.5","eddb478a-7e17-49b8-b978-53c957b47360"
"Ryan Gerard","29.4","22","19","345.1","255.2","275.3","185.1","1060.7","969362d4-b0ab-4178-bf32-7c6c8332fa7c"
"Jacob Bridgeman","25.6","16","22","341.7","245.6","306.2","244.6","1138.0","262d4311-38f1-4251-9665-101d3a1e344e"
"Daniel Berger","63.7","55","17","341.3","223.1","268.3","122.4","955.1","2f1b172a-ab2b-421e-9e19-e51c1aba26f0"
"Aaron Rai","34.7","19","18","332.7","349.4","196.8","232.8","1111.7","cb6dbabe-5a67-4b8b-9707-aafda7b98203"
"Brian Harman","30.1","24","19","325.8","278.4","277.3","210.8","1092.3","1a7a66b0-0b81-4e6c-af14-aaa818cd0fba"
"Kurt Kitayama","48.3","43","16","325.0","304.5","294.3","74.8","998.6","d73ec129-5161-4d51-b039-9278671404ba"
"Nick Taylor","20.9","23","19","317.3","271.5","219.5","263.3","1071.6","73041d4e-6833-4914-affe-0b742415af09"
"Maverick McNealy","24.7","20","19","317.2","300.3","298.3","228.6","1144.3","9f3ecd7b-e906-4539-9d36-0d9507abb551"
"Chris Gotterup","44.8","35","18","316.1","306.0","244.7","233.0","1099.8","f243a22e-382c-436e-ab9f-8e5013f28388"
"J.T. Poston","28.8","26","17","314.7","284.4","279.1","144.0","1022.2","bcab5e06-540e-4ed0-a965-73e7ddaf3e75"
"Matt McCarty","49.3","39","14","311.1","212.5","124.0","193.7","841.3","c0b30618-1f66-41db-ac6e-8dacb6c0b30b"
"Hideki Matsuyama","20.8","29","18","310.8","295.4","292.9","164.0","1063.1","5b7eba29-bed6-4214-91de-3315ac98c8f0"
"Taylor Pendrith","19.4","13","19","308.3","300.1","307.7","234.1","1150.2","29861791-91f6-4f68-b61e-2a8b9cf232b2"
"Cameron Young","8.7","11","18","308.0","389.2","259.6","255.5","1212.3","f656ef76-dddd-489e-a047-b1f0ac355497"
"Jake Knapp","37.5","37","14","300.1","204.5","118.9","187.1","810.7","4466efd5-a09c-4c28-a47f-04d19d93e2fe"
"Sam Burns","3.6","4","20","298.5","376.9","333.1","314.2","1322.5","48b39ca5-a4d3-4831-89cf-815f00f67bab"
"Chandler Blanchet","71.6","85","12","298.5","151.7","118.3","131.0","699.4","47663a24-df41-4a2f-93cf-e14f0b83d79c"
"Jordan Smith","71.4","56","14","296.1","149.9","118.3","232.5","796.8","d54b807a-6218-4fbb-97be-953d1cb97394"
"Pierceson Coody","67.8","87","12","294.9","149.3","116.8","129.4","690.4","e9533a6c-2af5-46dc-a966-c12cc6ced0bb"
"Daniel Brown","71.9","57","14","293.7","148.0","115.7","228.1","785.4","b8292aa7-6c8c-4944-b9c1-381f23c333b9"
"Michael Brennan","22","17","18","293.3","313.9","164.8","214.9","986.8","aa60d057-7de3-4259-8a74-e93f5ce74495"
"Mac Meissner","70.7","76","13","293.0","198.9","116.5","129.4","737.7","c298824b-0be6-4442-b973-5bb0785afd31"
"Haotong Li","69.9","54","15","292.5","192.9","115.0","228.0","828.4","ccc71261-b1c9-499e-a364-f6d1a744ae1a"
"Billy Horschel","54.8","41","16","290.1","189.3","160.3","202.9","842.6","dbe30953-2c75-4fcb-9460-1c832219102b"
"Ludvig Aberg","14.6","10","18","289.9","327.3","259.2","324.9","1201.3","94ceeae2-9ec8-4131-8170-086cac367aa7"
"Keith Mitchell","57.7","48","14","289.4","196.1","114.8","179.3","779.6","3d326b2e-b407-44c3-94f0-ab619a62ec99"
"Emiliano Grillo","70.6","80","13","289.2","196.7","115.1","125.9","726.9","889eb3f3-f818-4967-b543-70bb6d3cecb1"
"Keita Nakajima","71.9","66","14","289.1","146.2","114.3","225.7","775.2","68185ed6-6dc1-4be4-9812-a04596b99d6a"
"Vince Whaley","70.2","82","13","288.9","196.0","114.5","126.4","725.8","61946155-9cb6-4ed5-85e1-a9279f8a82db"
"Andrew Novak","37.4","27","20","288.7","305.0","260.5","194.5","1048.7","28d8e0a3-3e44-4de4-a2eb-17c531b14bbd"
"John Parry","71.9","66","14","288.7","145.7","113.6","226.3","774.2","d319f0ac-b5e2-4f1f-b924-0b9f98464802"
"Matti Schmid","71.1","63","14","286.6","195.8","114.1","178.4","775.0","1e1593e7-9bdd-4e1f-a3ad-d6a914818b06"
"Sungjae Im","12.3","14","21","285.0","257.6","272.9","312.7","1128.2","280aa6e1-3716-44c8-97a2-16912c62a444"
"Rickie Fowler","61","47","16","284.8","309.2","298.6","151.5","1044.1","508c6dfc-ec88-4d0e-9c4d-e645f0dbb535"
"Sami Valimaki","54","44","17","283.8","268.7","167.3","217.4","937.1","ca05965c-c4d4-4169-9bd4-8ea2ae3d04cd"
"Alex Smalley","70","60","14","283.6","192.3","112.6","175.7","764.2","0442ce34-45e1-47b0-86df-3d2f60bf6823"
"John Keefer","41.2","31","17","283.2","236.3","157.9","206.3","883.7","66bd5f6c-ab6e-400c-a623-069408a2c2ef"
"Neal Shipley","70.8","94","12","281.7","142.2","111.1","124.0","659.0","eb8e7cea-77ce-4fbc-b8f7-ccd885e9467b"
"Patrick Cantlay","32.7","42","16","280.2","312.5","248.1","172.4","1013.1","0b9c6032-573a-48c6-89a4-fd1fd014b6d9"
"Tom Hoge","70.4","112","17","279.4","175.0","215.2","99.1","768.7","785c53c6-e8d5-448b-8342-fd98c591f23e"
"William Mouw","71.3","64","15","277.8","254.3","155.4","121.3","808.8","e512d729-6061-4024-97d8-1cc50e324846"
"Patrick Rodgers","70.9","74","14","277.3","188.5","110.1","172.4","748.3","69a85bcf-b7a0-4f8d-899b-1365d29bac08"
"Steven Fisk","71.5","65","15","276.8","252.7","155.2","121.8","806.6","a4cfab98-c6fd-409f-a541-a7f123b8cf4a"
"Sepp Straka","11.8","38","17","276.7","290.9","234.6","221.9","1024.1","9d4539b7-8fd7-4a2a-9d59-fe7323a17e24"
"Takumi Kanaya","71.9","89","13","275.5","187.3","110.0","121.3","694.1","38ff48b0-27a7-4d51-8a88-c05ec54f1d59"
"Gary Woodland","71.7","70","15","271.3","184.8","107.9","197.2","761.2","240c438d-50e4-4acc-a756-0bd9f9ada0b3"
"Akshay Bhatia","46.8","52","17","270.6","286.5","284.8","158.1","1000.0","107d8b8f-6e20-4146-a6e5-121bc5f44f90"
"Lee Hodges","71.7","101","12","269.4","135.7","106.3","118.3","629.7","df76c4e7-5932-4aa9-b529-03178476fd3d"
"Kristoffer Reitan","54.7","40","17","267.7","212.1","178.4","251.0","909.3","b0d9f1dd-3a32-4140-9825-09ffca46cc44"
"Adrien Saddier","72","84","14","267.5","135.1","106.2","210.1","718.9","fafe78fa-8b50-432c-bab3-274ec7ea16a1"
"Eric Cole","64.6","95","13","265.6","179.1","104.5","115.6","664.9","28cc8f83-d946-4089-b83e-360820929f27"
"Rasmus Hojgaard","60","46","15","265.5","228.3","186.6","260.3","940.7","58ccec80-65bc-42ce-81cd-cc1dcdcf9eb5"
"Zecheng Dou","72","106","12","264.2","131.9","104.7","116.6","617.4","4bf1cec1-3c91-4f1d-9611-5384c0fdc64b"
"Keegan Bradley","49.6","45","16","262.8","313.8","250.5","173.8","1000.9","5eb0759c-3da5-412a-81a4-ca6298b92802"
"Bud Cauley","63.4","50","18","262.4","252.2","252.4","180.6","947.6","3283ab94-6b55-4298-ba0b-91bc21de0afa"
"Kevin Roy","71.9","98","13","260.9","176.5","103.8","115.6","656.7","763d6549-d2b7-4c32-b50a-6629518bbbad"
"Mark Hubbard","71.1","90","14","259.8","175.5","102.3","160.4","698.1","a4309c2f-9f30-4f4e-86d1-d6508ef7fa1b"
"Michael Thorbjornsen","33.6","75","12","259.1","222.5","129.8","141.5","752.9","4d6de0d4-e2ca-4094-affc-9fe44488ca82"
"Corey Conners","20.6","21","19","257.7","345.0","235.2","287.5","1125.4","33ca7c6c-9b03-49cc-b86b-1fdde49d863e"
"Austin Smotherman","72","116","12","256.0","128.4","101.2","112.9","598.4","f5993dac-abf1-42e9-82fb-d7a68097b0b3"
"Chad Ramey","71.8","104","13","254.7","172.7","100.2","111.6","639.2","ecb4a50a-7f98-45e0-8d95-8325b333a0dd"
"Jason Day","70.9","72","15","253.3","283.5","226.1","143.5","906.4","8d3ca378-8428-437e-9ccd-d87f962c311f"
"Christo Lamprecht","71.8","119","12","252.9","126.0","99.2","111.3","589.4","4463fac9-e46b-43e2-af74-adc8de548c7e"
"Luke Clanton","69.1","103","13","252.2","126.0","99.4","156.0","633.6","22c11552-83de-449b-83b1-254e859e3f4e"
"Adrien Dumont de Chassart","71.8","121","12","251.0","125.4","98.7","110.2","585.4","367fa6b4-859f-43e9-918f-dc4571e23222"
"Collin Morikawa","35.1","68","16","250.9","245.5","242.1","230.9","969.4","cd02c6e5-28f0-44a4-bff1-8b6f4727a2eb"
"Adam Scott","69.6","59","13","249.4","206.2","121.6","184.1","761.3","877dfe01-90d6-4e06-8785-3a0d0b3ec837"
"Justin Rose","69.8","53","18","247.2","271.4","221.9","265.7","1006.2","0e23c756-9796-48b6-a14f-9e30aa74cb27"
"Tony Finau","67.4","99","14","246.4","165.5","97.6","153.0","662.5","15537f6f-196d-423e-a6ce-a9e6c7a96224"
"Hank Lebioda","72","124","12","246.1","122.1","97.5","108.1","573.8","84158bbc-6017-4cc6-8063-7b113ede9038"
"Kevin Yu","68","71","13","244.6","208.9","122.0","189.7","765.2","bd1817da-0549-42a9-8d8e-4346969557db"
"Davis Thompson","60.4","73","13","244.4","208.2","121.2","189.4","763.2","dd25b2be-7e75-4f8a-a8ab-e562f5fdd688"
"Marco Penge","63.9","51","16","243.7","281.3","182.4","221.0","928.4","19c15b7c-64bd-43bf-9e37-3fe785fb1d51"
"David Ford","71.9","113","13","243.5","121.0","96.0","150.5","610.9","a7e9f131-6561-4740-b117-c09d02c5d2ea"
"Garrick Higgo","69.4","62","14","243.1","295.6","128.4","201.7","868.7","983b9a05-de49-47b5-bc01-5e977e8cc68c"
"Chandler Phillips","71.7","118","13","243.1","163.6","95.9","107.0","609.6","55b001a1-6409-4c90-8aa9-1447517dfb33"
"Alex Noren","44.4","34","17","241.7","279.0","181.7","290.7","993.1","1a60a05c-cdf2-479f-a8f3-eeac56be62cb"
"Emilio Gonzalez","75","128","12","241.7","121.5","95.2","106.7","565.1","c585b727-5131-48df-80da-a0ee47d162fb"
"Sahith Theegala","62.5","114","13","241.5","120.0","95.6","150.5","607.6","da821d33-6816-43a7-aa91-ed1f35d6358f"
"Alejandro Tosti","72","129","12","241.4","120.0","95.1","106.1","562.6","8b252e4f-f310-4d5e-a60f-46d0bd865447"
"Erik van Rooyen","71.9","131","13","239.4","161.3","94.4","92.4","587.5","8193a140-b04c-4bae-96ce-9eff573aa317"
"Dylan Wu","72","132","12","238.2","118.6","94.0","104.8","555.6","a7e040a0-90d1-4a66-bbdb-6d919577a9e5"
"Adam Svensson","71.8","137","12","237.5","116.1","91.4","102.2","547.2","27f4bcb5-f292-4169-9b0a-ead16e8f7ea4"
"Jeffrey Kang","75","133","12","236.7","117.6","93.3","104.0","551.6","dce92547-46b1-4eea-8a95-9263f02f68ed"
"Ryo Hisatsune","71.3","109","14","236.2","157.8","92.2","146.4","632.5","88377bfb-1209-4754-b1b8-5f17a7109fbd"
"Christiaan Bezuidenhout","71.1","86","13","235.9","199.8","116.9","182.3","734.9","65ceed36-682d-445c-acd0-25607a475b3a"
"John VanDerLaan","72","134","12","235.2","116.8","93.1","104.2","549.3","3d481b24-556a-491e-b8f7-4e8e2018199d"
"Will Zalatoris","71.3","93","12","233.3","147.6","116.2","181.6","678.7","2c1f48a0-cb44-4f20-bf91-1cb9ddc855cd"
"Lucas Glover","69.7","92","15","232.9","215.9","262.2","134.5","845.5","91c6fe34-d30d-481f-bb7a-848f67a87974"
"Zachary Bauchou","75","138","12","232.8","115.4","91.4","103.5","543.1","93caa8c8-a5cd-4bd6-8aa9-bb4160f31503"
"Brian Campbell","71.7","91","19","232.5","197.2","250.1","143.5","823.2","55fb24ac-a154-4573-a8ac-41ef5f98549c"
"Adam Schenk","71.7","105","15","228.3","209.8","127.9","100.9","666.9","69659cd1-fc52-478e-b44f-c39aba636745"
"Wyndham Clark","39.9","32","17","227.9","237.7","158.8","253.4","877.7","2b3427f8-cde8-42fe-86b4-b71cc6f47b40"
"Cam Davis","72","120","14","226.8","152.2","89.0","140.6","608.5","a110001f-38d4-4bc5-a4d1-6f40ae49b2ec"
"Min Woo Lee","70.9","100","15","226.7","220.6","168.0","197.2","812.4","ada2eefa-b577-471c-b6eb-b97cfb846ac9"
"Seonghyeon Kim","71.8","141","12","226.4","112.8","88.5","100.1","527.8","d733697b-69a8-495c-b16e-ccb6d407376c"
"Russell Henley","29.4","79","14","225.9","274.3","269.0","189.2","958.4","e53751ce-b27f-48d2-8dbd-a82d5ee97273"
"Ricky Castillo","71.7","108","11","225.3","140.0","110.5","122.1","597.9","26a7da55-26b9-42ff-80c5-9b410f2526da"
"Sudarshan Yellamaraju","72","143","12","217.0","108.3","85.1","95.7","506.0","dc267eb6-bd66-405e-939b-ec3a568257a8"
"Matt Fitzpatrick","34.1","49","16","214.1","326.3","259.3","249.9","1049.5","a66a7909-9264-4df0-9b3e-256632a604aa"
"Danny Walker","72","135","14","212.0","141.2","82.9","131.7","567.8","9fb321aa-e664-46c3-bcfc-f6a36a5fff30"
"Davis Riley","71.9","145","14","211.2","139.3","116.3","80.4","547.1","235698ac-5a0c-40d6-a91c-5eb2a5a23674"
"Jhonattan Vegas","71.3","97","16","208.1","254.3","267.8","114.7","844.9","57745dc5-dfa9-4014-af04-3d298d14137e"
"Mackenzie Hughes","69.9","107","13","208.0","174.9","102.5","161.7","647.1","cff20d5a-528b-4623-b855-b5c48200e7c8"
"Marcelo Rozo","72","149","12","207.8","101.9","81.2","91.6","482.4","babef1e9-11c3-448e-946f-e2e07594d3d1"
"Tom Kim","66.7","115","12","206.0","127.3","100.4","158.0","591.6","5165a586-a349-44ae-81f0-edf425d7729d"
"Beau Hossler","71.9","130","11","205.9","126.8","101.1","111.5","545.3","e6c410b1-8dac-48d3-899c-83e2aa3e67e1"
"Joe Highsmith","71.7","126","16","197.8","184.5","109.4","123.0","614.6","a4463422-b898-40bc-a612-2e329d57422a"
"Aldrich Potgieter","71.3","142","14","196.1","270.2","142.6","45.4","654.3","789db72e-4230-48bb-8931-64f8bf9a156b"
"Isaiah Salinda","72","140","11","195.1","123.4","97.2","108.2","523.9","f737f62b-6738-4452-8385-674c175fda4c"
"Stephan Jaeger","71.7","123","13","195.0","163.0","95.5","151.0","604.5","9b0d27c4-a114-4e4e-8163-8665f481e970"
"Doug Ghim","71.9","111","10","193.1","148.6","116.7","128.8","587.2","f24fb376-72a8-4ab2-96e6-c62187dee641"
"Kensei Hirata","75","154","12","190.6","93.3","74.1","84.8","442.8","a8f9208b-c756-4a93-b904-ec1db181245b"
"Gordon Sargent","71.9","152","13","188.9","92.2","73.4","117.0","471.6","fa9ff65d-f34b-4c20-a2e3-4cd7de4b5579"
"A.J. Ewart","72","157","12","187.9","92.3","72.7","83.1","436.0","0b110cf5-6d3b-42ef-b483-355282a0a125"
"Trace Crowe","75","148","11","186.4","116.0","91.1","102.4","495.9","32dd94d1-b68b-4987-98b4-1e573ec5247d"
"Shane Lowry","66.1","83","16","183.1","296.3","238.7","232.6","950.8","4e133af8-a1f4-4c64-b2de-9e8d4e056e63"
"Karl Vilips","72","125","14","181.7","206.7","88.0","139.7","616.2","b9ea9d74-309d-48a4-a3f1-ee7a6fcc3842"
"Seamus Power","72","127","10","181.5","138.2","108.5","120.8","549.1","32400387-b804-4185-96dd-cf35ac58e54f"
"Harris English","59.6","58","17","181.3","296.6","290.1","222.7","990.7","bb20cf75-3be9-4f21-9d80-dcf2943bfada"
"Austin Eckroat","70.9","117","11","179.2","135.2","107.0","168.1","589.4","ca65f845-e42c-4cb7-abc6-e725cb0aa88a"
"Nicolai Hojgaard","71.5","81","13","173.4","219.2","127.7","251.3","771.6","17fada79-d116-4bf1-b656-776db62d5b86"
"Max Homa","59.2","122","11","169.4","182.3","109.5","121.2","582.4","26abcb4f-dd20-442e-9b8d-769a0172f025"
"Ryan Fox","63.6","77","18","169.2","298.7","270.0","216.1","954.0","edef7be4-7ea6-4dce-b61e-1462f18f8825"
"Matt Wallace","75","136","10","168.9","139.6","110.4","121.2","540.1","7db5ffbd-c98e-4968-bc64-04c5ed4b93fe"
"Rasmus Neergaard-Petersen","71.7","88","13","167.0","209.4","122.0","240.0","738.3","e8f0b96b-723c-4ff1-90db-1bc1403baeb6"
"Patrick Fishburn","71.9","139","10","167.0","137.4","108.4","120.4","533.3","10eeb40f-b63d-4516-a639-47a4825a1b39"
"Thorbjorn Olesen","71.8","102","12","163.6","206.1","120.2","188.7","678.5","0cee103c-9751-4916-a8e5-da77936b34c8"
"Tommy Fleetwood","14.1","12","17","159.7","440.5","362.1","285.1","1247.3","98f4fba3-9d68-49b9-a560-a7a5b1e9bf60"
"Rory McIlroy","12.3","25","15","159.5","370.8","221.3","367.1","1118.7","4d4d4166-a749-48b0-96db-66c739164ee9"
"Xander Schauffele","7.1","69","15","147.2","333.5","264.7","257.5","1002.9","88f50a80-478e-4686-8bac-8dfaf26ebb16"
"David Lipsky","72","153","10","143.8","116.6","93.1","104.0","457.5","f6ffdb50-41d6-4e6b-ab13-da35b10951d5"
"Viktor Hovland","47.9","78","15","143.6","323.7","257.8","248.7","973.7","36d83788-6c2e-49da-836f-1079b22a513e"
"Brooks Koepka","61.2","110","15","135.0","166.9","145.0","229.6","676.5","b9d821f0-7be3-4e25-a831-74fef8269f78"
"Justin Thomas","69.9","96","15","133.9","299.8","240.1","227.7","901.5","7344d6db-3293-435c-b5c9-c2cc640d107f"
"Jesper Svensson","72","144","9","127.7","139.0","109.3","121.1","497.0","9c8d2817-4b9b-4459-9bc8-240b5d31901f"
"Kris Ventura","75","146","9","125.9","135.9","107.1","118.5","487.4","ae5a8ed0-a8c2-46a7-b4d5-149237104f20"
"Matt Kuchar","75","147","9","125.5","135.7","106.8","118.9","486.9","212c52cf-9728-43a1-b3bb-badf6b8526c5"
"Jackson Suber","75","151","9","118.9","128.2","100.3","111.7","459.1","077aa012-862a-4322-b7c9-6182c8628741"
"Joel Dahmen","72","150","10","113.5","120.7","95.3","150.8","480.3","e570d611-58df-48cb-a4a5-38cfb2663380"
"Sam Ryder","71.9","156","9","112.4","119.3","94.2","104.6","430.5","a1ff9a3c-58e4-4453-be73-ab37736b9766"
"Lanto Griffin","75","155","9","112.1","119.2","94.4","105.6","431.3","39445b24-8d18-4097-a76d-4aedcafe49b9"
"Taylor Moore","71.9","158","9","111.2","118.5","93.3","104.3","427.3","64b3c541-9900-445a-b5b0-9bbb13140112"
"Andrew Putnam","71.9","159","9","110.9","117.9","92.8","104.4","426.0","df41a50c-2d5b-4a2d-bfda-7461a7bd801b"
"Thomas Detry","71.8","100","1","0.0","0.0","44.8","0.0","44.8","0553ad1f-8057-427b-8f5a-eee3866fa1e1"
