Player,Pos,Team,Opp,DK Proj,FD Proj,FFPC Proj,Standard Proj,Half PPR Proj,Full PPR Proj,DK Ceiling,FD Ceiling,Slate
Puka Nacua,WR,LA,@SEA,22.3,18.4,21.1,13.4,17.2,21.1,36.7,31.3,Other
Jaxon Smith-Njigba,WR,SEA,LA,22.0,18.5,20.8,13.9,17.3,20.7,37.3,32.3,Other
Kenneth Walker,RB,SEA,LA,20.5,18.8,19.5,16.2,17.8,19.4,34.2,32.1,Other
Drake Maye,QB,NE,@DEN,20.2,19.8,21.3,18.6,18.6,18.6,30.8,30.7,Other
Matthew Stafford,QB,LA,@SEA,17.9,17.8,19.0,16.1,16.1,16.1,27.6,27.6,Other
Sam Darnold,QB,SEA,LA,16.5,16.2,17.5,14.9,14.9,14.9,26.5,26.5,Other
Jarrett Stidham,QB,DEN,NE,15.3,15.1,16.3,14.0,14.0,14.0,24.4,24.4,Other
Kyren Williams,RB,LA,@SEA,13.9,12.6,13.6,11.0,12.3,13.5,25.4,23.5,Other
RJ Harvey,RB,DEN,NE,13.8,12.2,13.6,10.4,11.9,13.5,24.7,22.4,Other
Davante Adams,WR,LA,@SEA,13.6,11.4,13.1,8.7,10.9,13.1,25.5,22.1,Other
Rhamondre Stevenson,RB,NE,@DEN,13.3,11.8,13.0,10.2,11.6,12.9,24.4,22.4,Other
Courtland Sutton,WR,DEN,NE,12.2,10.1,11.8,7.7,9.7,11.8,23.2,20.0,Other
Stefon Diggs,WR,NE,@DEN,11.8,9.5,11.5,7.1,9.3,11.5,22.2,18.9,Other
Hunter Henry,TE,NE,@DEN,10.1,8.3,11.8,6.4,8.2,10.0,19.5,16.7,Other
Harrison Mevis,K,LA,@SEA,9.0,9.0,9.6,9.0,9.0,9.0,15.3,15.3,Other
Andy Borregales,K,NE,@DEN,8.9,8.9,9.6,8.9,8.9,8.9,15.2,15.2,Other
Pat Bryant,WR,DEN,NE,8.7,7.0,8.6,5.3,6.9,8.6,17.4,14.7,Other
Jason Myers,K,SEA,LA,8.7,8.7,9.3,8.7,8.7,8.7,14.9,14.9,Other
Cooper Kupp,WR,SEA,LA,8.4,6.8,8.2,5.1,6.7,8.2,17.0,14.5,Other
Kayshon Boutte,WR,NE,@DEN,8.0,6.7,7.8,5.4,6.6,7.8,17.2,15.1,Other
Colby Parkinson,TE,LA,@SEA,7.9,6.3,9.5,4.6,6.2,7.9,15.8,13.1,Other
Wil Lutz,K,DEN,NE,7.8,7.8,8.4,7.8,7.8,7.8,14.0,14.0,Other
AJ Barner,TE,SEA,LA,7.6,6.1,9.0,4.6,6.1,7.6,15.0,12.6,Other
NE DST,DST,NE,@DEN,7.6,7.6,8.5,7.6,7.6,7.6,15.1,15.1,Other
Marvin Mims,WR,DEN,NE,7.3,5.7,7.2,4.2,5.7,7.2,14.6,12.2,Other
TreVeyon Henderson,RB,NE,@DEN,7.3,6.8,7.2,6.2,6.7,7.1,15.4,14.7,Other
Mack Hollins,WR,NE,@DEN,7.3,6.1,7.2,4.8,6.0,7.2,15.7,13.7,Other
DEN DST,DST,DEN,NE,7.1,7.1,7.8,7.1,7.1,7.1,14.4,14.4,Other
Rashid Shaheed,WR,SEA,LA,7.0,6.0,6.9,5.0,5.9,6.9,15.3,13.7,Other
Blake Corum,RB,LA,@SEA,6.4,6.0,6.3,5.6,5.9,6.2,14.1,13.6,Other
LA DST,DST,LA,@SEA,5.9,5.9,6.6,5.9,5.9,5.9,13.0,13.0,Other
SEA DST,DST,SEA,LA,5.6,5.6,6.3,5.6,5.6,5.6,12.5,12.5,Other
Evan Engram,TE,DEN,NE,5.5,4.3,6.8,3.0,4.3,5.5,11.7,9.5,Other
Jaleel McLaughlin,RB,DEN,NE,4.4,4.2,4.3,3.9,4.1,4.3,10.7,10.3,Other
Demario Douglas,WR,NE,@DEN,4.2,3.5,4.2,2.7,3.5,4.2,10.5,9.0,Other
Tyler Higbee,TE,LA,@SEA,3.9,3.1,4.7,2.4,3.1,3.9,9.6,8.2,Other
Terrance Ferguson,TE,LA,@SEA,3.6,2.9,4.2,2.3,2.9,3.5,9.1,7.8,Other
Austin Hooper,TE,NE,@DEN,3.1,2.5,3.7,1.9,2.5,3.1,8.3,7.0,Other
Lil'Jordan Humphrey,WR,DEN,NE,2.8,2.2,2.8,1.7,2.2,2.8,7.5,6.3,Other
Jordan Whittington,WR,LA,@SEA,2.6,2.1,2.6,1.6,2.1,2.6,7.0,5.9,Other
Konata Mumpfield,WR,LA,@SEA,2.3,1.9,2.3,1.4,1.9,2.3,6.6,5.6,Other
George Holani,RB,SEA,LA,2.3,2.2,2.3,2.0,2.2,2.3,6.7,6.4,Other
Adam Trautman,TE,DEN,NE,2.2,1.7,2.7,1.3,1.7,2.2,6.1,5.0,Other
Elijah Arroyo,TE,SEA,LA,2.1,1.7,2.5,1.2,1.7,2.1,6.1,5.1,Other
Tyler Badie,RB,DEN,NE,1.7,1.3,1.7,0.9,1.3,1.7,5.2,4.2,Other
Nate Adkins,TE,DEN,NE,1.4,1.1,1.8,0.8,1.1,1.4,4.6,3.8,Other
Kyle Williams,WR,NE,@DEN,1.3,1.1,1.3,1.0,1.1,1.3,4.8,4.3,Other
Eric Saubert,TE,SEA,LA,0.8,0.6,0.9,0.5,0.6,0.8,3.1,2.5,Other
Adam Prentice,RB,DEN,NE,0.7,0.6,0.7,0.5,0.6,0.7,2.9,2.5,Other
Xavier Smith,WR,LA,@SEA,0.6,0.5,0.6,0.4,0.5,0.6,2.6,2.1,Other
Davis Allen,TE,LA,@SEA,0.6,0.4,0.7,0.3,0.4,0.6,2.2,1.7,Other
Elijah Moore,WR,DEN,NE,0.5,0.4,0.5,0.3,0.4,0.5,2.1,1.7,Other
Cam Akers,RB,SEA,LA,0.4,0.4,0.4,0.4,0.4,0.4,2.0,1.9,Other
Jack Westover,TE,NE,@DEN,0.3,0.2,0.3,0.2,0.2,0.3,1.2,1.0,Other
Robbie Ouzts,RB,SEA,LA,0.3,0.2,0.3,0.1,0.2,0.3,1.1,0.8,Other
Jake Bobo,WR,SEA,LA,0.3,0.2,0.3,0.2,0.2,0.3,1.1,0.9,Other
Dareke Young,WR,SEA,LA,0.3,0.2,0.3,0.2,0.2,0.3,1.1,0.9,Other
Ronnie Rivers,RB,LA,@SEA,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.4,Other
D'Ernest Johnson,RB,NE,@DEN,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,Other
Brady Russell,RB,SEA,LA,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.4,Other
Velus Jones,RB,SEA,LA,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,Other